pid,volume,image_number,head,entry,topic,first_letter,page,add,xref,see,index,item,unparsed,line,selection,full_image,annotation_uri,sort_value,insertion,thumbnail,label,location,issue,insertion_xref
index_0001,Volume 3,7,to abase,<a href='/digital-beehive/num6/num_1863/'>1326 [debase]</a>,,A,,,,,,#item-d4ea70e61,,Head: to abase|Entry: 1326 [debase]|#item-d4ea70e61,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/594,240,377,147/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564757542775,300710240,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/594,240,377,147/150,/0/default.jpg",to abase,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0002,Volume 3,7,Abatemt,<a href='/digital-beehive/num6/num_1863/'>1326 [debase]</a>,,A,,,,,,#item-5f45773ab,,Head: Abatemt|Entry: 1326 [debase]|#item-5f45773ab,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/162,268,475,138/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564757410866,300710268,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/162,268,475,138/150,/0/default.jpg",Abatemt,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0003,Volume 3,7,abbot,<a href='/digital-beehive/num6/num_2066/'>1424 [Abbot]</a>,,A,,,,,,#item-155ed9d2a,,Head: abbot|Entry: 1424 [Abbot]|#item-155ed9d2a,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/165,354,408,110/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564757584514,300710354,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/165,354,408,110/150,/0/default.jpg",abbot,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0004,Volume 3,7,abbreviating,<a href='/digital-beehive/num6/num_2182/'>1480 [Abbreviating]</a>,,A,,,,,,#item-bc4e47597,,Head: abbreviating|Entry: 1480 [Abbreviating]|#item-bc4e47597,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/170,437,608,129/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564757666412,300710437,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/170,437,608,129/150,/0/default.jpg",abbreviating,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0005,Volume 3,7,abdicate,<a href='/digital-beehive/num2/num_0519/'>418 [Renouncing]</a>,,A,,,,,,#item-bbb46c106,,Head: abdicate|Entry: 418 [Renouncing]|#item-bbb46c106,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/168,478,469,110/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564758363495,300710478,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/168,478,469,110/150,/0/default.jpg",abdicate,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0006,Volume 3,7,abhorring,<a href='/digital-beehive/num6/num_1850/'>1320 [Unacceptable]</a>,,A,,,,,,#item-7f8cb5dcb,,Head: abhorring|Entry: 1320 [Unacceptable]|#item-7f8cb5dcb,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/167,517,489,143/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564758444079,300710517,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/167,517,489,143/150,/0/default.jpg",abhorring,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0007,Volume 3,7,abiding,<a href='/digital-beehive/num4/num_1134/'>884 [to abide]</a>,,A,,,,,,#item-d235fec0a,,Head: abiding|Entry: 884 [to abide]|#item-d235fec0a,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/177,615,405,156/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564758489382,300710615,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/177,615,405,156/150,/0/default.jpg",abiding,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0008,Volume 3,7,ability,<a href='/digital-beehive/num2/num_0284/'>258 [Ability]</a>|<a href='/digital-beehive/num6/num_2070/'>1426 [Abilities]</a>|<a href='/digital-beehive/num10/num_3336/'>2363 [Able & unable]</a>,,A,,,,,,#item-88a40cd33,,Head: ability|Entry: 258 [Ability]|Entry: 1426 [Abilities]|Entry: 2363 [Able & unable]|#item-88a40cd33,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/178,696,720,158/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564758544855,300710696,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/178,696,720,158/150,/0/default.jpg",ability,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0009,Volume 3,7,abolishing,<a href='/digital-beehive/num2/num_0432/'>363 [Annulling]</a>,,A,,,,,,#item-27a4441a7,,Head: abolishing|Entry: 363 [Annulling]|#item-27a4441a7,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/191,784,549,156/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564758684716,300710784,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/191,784,549,156/150,/0/default.jpg",abolishing,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
index_0010,Volume 3,7,abominable,745 [PAGE_MISSING],,A,,,,,,#item-ec017c332,,Head: abominable|Entry: 745 [PAGE_MISSING]|#item-ec017c332,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/184,878,573,110/full/0/default.jpg",https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/full/full/0/default.jpg,http://dev.llgc.org.uk/annotation/1564758734783,300710878,,"https://stacks.stanford.edu/image/iiif/gw497tq8651/1607_0950/184,878,573,110/150,/0/default.jpg",abominable,<a href='/digital-beehive/toc/toc3_07/'>Full Page</a>,,
